epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2292.89,1.71061,2.70182,1.75666,0.53348,0.70756,0.65998,0.31728,1.58684,3.03881,1.67076,0.00041534,0.00041534,0.00041534
2,5529.82,1.64075,2.03967,1.66881,0.56194,0.7936,0.78967,0.38608,1.56695,1.89572,1.61409,0.000811414,0.000811414,0.000811414
3,7843.52,1.63421,1.77278,1.65904,0.78922,0.7947,0.84579,0.41807,1.70589,1.40605,1.65226,0.00118686,0.00118686,0.00118686
4,10092.1,1.61583,1.6105,1.63122,0.82835,0.84405,0.89064,0.46279,1.53593,1.18891,1.56808,0.00115719,0.00115719,0.00115719
5,12064.6,1.57999,1.47685,1.59418,0.83024,0.87194,0.93403,0.481,1.56868,1.14468,1.55326,0.00112625,0.00112625,0.00112625
6,14006.3,1.546,1.39643,1.57346,0.66489,0.8658,0.83756,0.47089,1.47381,1.22717,1.49399,0.00109531,0.00109531,0.00109531
7,15929.1,1.53355,1.36526,1.56557,0.69059,0.86579,0.88943,0.48344,1.53679,1.11376,1.52035,0.00106437,0.00106437,0.00106437
8,17695.1,1.50349,1.33346,1.54551,0.81964,0.7874,0.85636,0.36605,1.83205,1.16765,1.77651,0.00103344,0.00103344,0.00103344
9,19689.1,1.4959,1.32007,1.5518,0.76424,0.82177,0.86489,0.46308,1.52409,1.00926,1.53462,0.0010025,0.0010025,0.0010025
10,21799.8,1.49516,1.28421,1.54033,0.84303,0.86586,0.9043,0.50194,1.4463,0.97054,1.48404,0.000971562,0.000971562,0.000971562
11,23789,1.49534,1.2577,1.54804,0.88741,0.886,0.94764,0.52559,1.48401,0.87164,1.51145,0.000940625,0.000940625,0.000940625
12,25959.6,1.47879,1.25677,1.5288,0.86371,0.89649,0.94837,0.52556,1.55726,0.84416,1.56705,0.000909688,0.000909688,0.000909688
13,27947.8,1.45491,1.22597,1.52398,0.88935,0.84799,0.93784,0.52456,1.46091,0.85817,1.50012,0.00087875,0.00087875,0.00087875
14,30208.8,1.45792,1.20026,1.52665,0.87593,0.87857,0.91537,0.51947,1.44221,0.88036,1.46657,0.000847813,0.000847813,0.000847813
15,32389.8,1.45872,1.20449,1.5206,0.84209,0.87967,0.93498,0.53513,1.44764,0.86545,1.48351,0.000816875,0.000816875,0.000816875
16,48028.1,1.45545,1.18664,1.51649,0.88425,0.90532,0.94264,0.52437,1.49132,0.79876,1.50813,0.000785938,0.000785938,0.000785938
17,49877.7,1.41389,1.14555,1.49987,0.90229,0.90554,0.95569,0.54158,1.49104,0.74754,1.52315,0.000755,0.000755,0.000755
18,51617,1.42196,1.14713,1.50866,0.92786,0.92364,0.96525,0.55233,1.45235,0.74686,1.471,0.000724062,0.000724062,0.000724062
19,53356,1.42038,1.15059,1.49833,0.9167,0.91889,0.95408,0.55204,1.42697,0.7886,1.45613,0.000693125,0.000693125,0.000693125
20,55085.9,1.40857,1.13438,1.49248,0.92177,0.91064,0.96413,0.56547,1.42865,0.71482,1.45525,0.000662188,0.000662188,0.000662188
21,56833.9,1.40546,1.11066,1.49459,0.92212,0.92082,0.96123,0.55898,1.44074,0.70824,1.47556,0.00063125,0.00063125,0.00063125
22,118251,1.3834,1.09021,1.48266,0.93385,0.90891,0.9581,0.55361,1.44614,0.7153,1.47878,0.000600313,0.000600313,0.000600313
23,122054,1.39218,1.09473,1.48502,0.92639,0.91802,0.95745,0.53315,1.53201,0.70276,1.53879,0.000569375,0.000569375,0.000569375
24,124299,1.37259,1.0721,1.47639,0.93665,0.91004,0.96409,0.56183,1.42788,0.69807,1.45481,0.000538438,0.000538438,0.000538438
25,127250,1.36335,1.03655,1.4664,0.91119,0.92666,0.96437,0.56983,1.44471,0.6613,1.49014,0.0005075,0.0005075,0.0005075
26,130363,1.36794,1.04147,1.46573,0.92893,0.95148,0.96465,0.54878,1.46918,0.67905,1.48987,0.000476562,0.000476562,0.000476562
27,132896,1.32925,1.00027,1.44223,0.93585,0.90755,0.96257,0.56195,1.43838,0.65783,1.47924,0.000445625,0.000445625,0.000445625
28,170797,1.34008,1.00391,1.45473,0.91399,0.91158,0.95754,0.54797,1.49394,0.69359,1.50733,0.000414688,0.000414688,0.000414688
29,173195,1.32375,0.98131,1.44195,0.92937,0.91887,0.96425,0.55142,1.48834,0.64442,1.50913,0.00038375,0.00038375,0.00038375
30,190299,1.31283,0.97177,1.44124,0.94046,0.92626,0.96736,0.54643,1.49978,0.65725,1.52965,0.000352812,0.000352812,0.000352812
31,193120,1.32058,0.62661,1.49263,0.88025,0.91129,0.96222,0.55255,1.46391,0.67607,1.50151,0.000321875,0.000321875,0.000321875
32,195024,1.26993,0.58619,1.45918,0.92968,0.94367,0.96398,0.56747,1.44151,0.6234,1.47611,0.000290937,0.000290937,0.000290937
33,206926,1.27215,0.58383,1.45788,0.91971,0.9178,0.95902,0.55633,1.44619,0.67137,1.47957,0.00026,0.00026,0.00026
34,209542,1.25396,0.57374,1.45361,0.88894,0.94345,0.95811,0.5421,1.49515,0.64317,1.53246,0.000229063,0.000229063,0.000229063
35,211690,1.23601,0.55325,1.44365,0.93235,0.91362,0.96602,0.56513,1.42003,0.62894,1.47717,0.000198125,0.000198125,0.000198125
36,213674,1.22333,0.54584,1.43064,0.92245,0.91668,0.96504,0.54404,1.51165,0.64663,1.55045,0.000167188,0.000167188,0.000167188
37,215976,1.2095,0.53229,1.41658,0.9025,0.93726,0.96357,0.56067,1.44713,0.6178,1.4861,0.00013625,0.00013625,0.00013625
38,217880,1.19468,0.51733,1.4073,0.9415,0.9129,0.96518,0.5532,1.45553,0.63164,1.50557,0.000105312,0.000105312,0.000105312
39,219834,1.18922,0.51108,1.4034,0.93963,0.93415,0.96742,0.56102,1.44561,0.61224,1.49186,7.4375e-05,7.4375e-05,7.4375e-05
40,221778,1.16496,0.4987,1.3922,0.9527,0.91601,0.96241,0.56272,1.44777,0.59661,1.49165,4.34375e-05,4.34375e-05,4.34375e-05
